,return
172,-0.0019723494668599695
173,-0.0019723494668599695
174,-0.0019723494668599695
175,-0.0019723494668599695
176,-0.0019723494668599695
177,-0.006075764360982564
178,-0.00593869476491115
179,-0.00593869476491115
180,-0.00593869476491115
181,-0.00593869476491115
182,-0.0065612254724399
183,-0.0065612254724399
184,-0.0065612254724399
185,-0.0065612254724399
186,-0.0065612254724399
187,-0.0064139396852801785
188,-0.014904530776216647
189,-0.02799977693866563
190,-0.02799977693866563
191,-0.02799977693866563
192,-0.02799977693866563
193,-0.02799977693866563
194,-0.02799977693866563
195,-0.02799977693866563
196,-0.02799977693866563
197,-0.02799977693866563
198,-0.02762249844155469
199,-0.01062421041917594
200,-0.010706985486410832
201,-0.010706985486410832
202,-0.010706985486410832
203,-0.002237123290459367
204,-0.002237123290459367
205,-0.002237123290459367
206,-0.002237123290459367
207,-0.002237123290459367
208,-0.0025377660383758814
209,-0.0025377660383758814
210,-0.004030685910750208
211,-0.004030685910750208
212,-0.004030685910750208
213,-0.004030685910750208
214,-0.004030685910750208
215,-0.004030685910750208
216,-0.004030685910750208
217,-0.004030685910750208
218,-0.003955370754819923
219,-0.004067354789653898
220,-0.0028550817780767547
221,-0.0028550817780767547
222,-0.0028550817780767547
223,-0.004201845165722962
224,-0.004254666768628413
225,-0.004254666768628413
226,-0.004254666768628413
227,-0.004254666768628413
228,-0.004254666768628413
229,-0.004254666768628413
230,-0.004254666768628413
231,-0.004254666768628413
232,-0.01724640407700614
233,-0.017431637628712728
234,-0.017431637628712728
235,-0.017431637628712728
236,-0.017431637628712728
237,-0.017431637628712728
238,-0.017431637628712728
239,-0.017431637628712728
240,-0.017431637628712728
241,-0.017431637628712728
242,-0.006292607125589037
243,-0.006554515550917078
244,-0.006554515550917078
245,-0.006554515550917078
246,-0.006554515550917078
247,-0.0061804203891284975
248,-0.00612900898644828
249,-0.00612900898644828
250,-0.006621624014845606
251,-0.006621624014845606
252,-0.006621624014845606
253,-0.0057540396957114215
254,-0.0057540396957114215
255,-0.0058475942400749
256,-0.0058475942400749
257,-0.0058475942400749
258,-0.0058475942400749
259,-0.0058475942400749
260,-0.0029431093826595067
261,-0.004686324556672324
262,-0.004686324556672324
263,-0.007144448569531653
264,-0.007169972813069947
265,-0.007169972813069947
266,-0.0176145242794494
267,-0.0176145242794494
268,-0.0176145242794494
269,-0.0176145242794494
270,-0.01818785715477467
271,-0.01818785715477467
272,-0.01818785715477467
273,-0.01818785715477467
274,-0.01818785715477467
275,-0.01818785715477467
276,-0.012994776937896217
277,-0.012994776937896217
278,-0.012994776937896217
279,-0.01275697092532076
280,-0.002667320035273848
281,-0.002667320035273848
282,-0.002667320035273848
283,-0.002667320035273848
284,-0.01219919485606668
285,-0.014095295286068808
286,-0.02703877259416112
287,-0.027947925739199228
288,-0.027947925739199228
289,-0.03367387481801727
290,-0.03367387481801727
291,-0.03367387481801727
292,-0.03367387481801727
293,-0.03367387481801727
294,-0.03367387481801727
295,-0.03940145297436248
296,-0.07170786547278665
297,-0.07170786547278665
298,-0.07170786547278665
