,return
164,-0.01926572082700641
165,-0.01926572082700641
166,-0.011773188872725965
167,-0.011773188872725965
168,-0.011773188872725965
169,-0.011773188872725965
170,-0.011773188872725965
171,-0.011773188872725965
172,-0.011773188872725965
173,-0.01149104692860371
174,-0.01149104692860371
175,-0.009761762537227263
176,-0.009761762537227263
177,-0.0097929163004751
178,-0.004790567551009198
179,-0.004790567551009198
180,-0.004790567551009198
181,-0.004834733729713584
182,-0.008869385370405363
183,-0.008869385370405363
184,-0.008975846999778686
185,-0.008975846999778686
186,-0.008975846999778686
187,-0.008975846999778686
188,-0.008975846999778686
189,-0.018945841466780747
190,-0.019430705914274086
191,-0.019430705914274086
192,-0.019430705914274086
193,-0.019430705914274086
194,-0.019430705914274086
195,-0.019430705914274086
196,-0.019430705914274086
197,-0.019430705914274086
198,-0.019430705914274086
199,-0.01408780132257112
200,-0.007719956502261539
201,-0.007844010311090855
202,-0.008257136484876472
203,-0.005208913390091906
204,-0.005208913390091906
205,-0.005208913390091906
206,-0.005465161850957237
207,-0.005465161850957237
208,-0.005465161850957237
209,-0.005465161850957237
210,-0.005465161850957237
211,-0.005465161850957237
212,-0.003680198813909775
213,-0.003680198813909775
214,-0.003680198813909775
215,-0.003680198813909775
216,-0.001511999904288165
217,-0.0036192468385077003
218,-0.0036192468385077003
219,-0.0037273494499066163
220,-0.0037273494499066163
221,-0.0037273494499066163
222,-0.0037273494499066163
223,-0.0037273494499066163
224,-0.006831387263538911
225,-0.006831387263538911
226,-0.006831387263538911
227,-0.006746763041431836
228,-0.006746763041431836
229,-0.006679648210770257
230,-0.006679648210770257
231,-0.006679648210770257
232,-0.020316780911033453
233,-0.020316780911033453
234,-0.019866418536026043
235,-0.01984548303437148
236,-0.01984548303437148
237,-0.019952923994722604
238,-0.019952923994722604
239,-0.019952923994722604
240,-0.019952923994722604
241,-0.019952923994722604
242,-0.0029168572997137765
243,-0.0029168572997137765
244,-0.0029168572997137765
245,-0.0029168572997137765
246,-0.003995035985082839
247,-0.0038247373246950533
248,-0.003821482312382997
249,-0.003821482312382997
250,-0.003821482312382997
251,-0.007993188369211451
252,-0.007993188369211451
253,-0.007993188369211451
254,-0.007993188369211451
255,-0.007993188369211451
256,-0.007902394110365559
257,-0.007902394110365559
258,-0.007902394110365559
259,-0.007962569696422226
260,-0.007962569696422226
261,-0.003684443255731338
262,-0.003684443255731338
263,-0.003684443255731338
264,-0.003668557394945813
265,-0.003668557394945813
266,-0.005082712129026958
267,-0.005082712129026958
268,-0.021885057293631258
269,-0.021885057293631258
270,-0.021885057293631258
271,-0.021978954766864286
272,-0.021978954766864286
273,-0.022956844556322624
274,-0.022956844556322624
275,-0.022956844556322624
276,-0.022956844556322624
277,-0.022956844556322624
278,-0.01647771067320867
279,-0.01647771067320867
280,-0.01647771067320867
281,-0.01647771067320867
282,-0.01647771067320867
283,-0.009532057059499858
284,-0.009532057059499858
285,-0.009532057059499858
286,-0.009532057059499858
287,-0.024111391070593364
288,-0.024373792766931177
289,-0.030798951936165393
290,-0.030798951936165393
291,-0.04587877538152156
292,-0.04587877538152156
293,-0.04587877538152156
294,-0.04587877538152156
295,-0.04587877538152156
296,-0.04715864946708701
297,-0.04715864946708701
298,-0.04715864946708701
299,-0.04715864946708701
300,-0.09375917775476963
301,-0.09359935018517564
302,-0.0938268536216528
303,-0.0938268536216528
304,-0.0938268536216528
305,-0.0938268536216528
306,-0.0938268536216528
307,-0.09494318370409685
308,-0.09494318370409685
309,-0.09494318370409685
310,-0.05935776861342822
311,-0.05935776861342822
312,-0.05688361158176832
313,-0.05663040293876299
314,-0.05900710732364747
315,-0.05900710732364747
316,-0.05900710732364747
317,-0.04192801882905906
318,-0.04192801882905906
319,-0.042660857425081494
320,-0.042660857425081494
321,-0.042660857425081494
322,-0.042660857425081494
323,-0.042660857425081494
324,-0.0266264989089117
325,-0.025238333987872206
326,-0.025238333987872206
327,-0.030026581872616996
328,-0.030026581872616996
329,-0.02790557835555507
330,-0.02790557835555507
331,-0.02790557835555507
332,-0.02790557835555507
333,-0.02778183863258879
334,-0.027286560499216562
335,-0.029265694458179968
336,-0.029576223191833072
337,-0.02204482342923743
338,-0.02204482342923743
339,-0.02204482342923743
340,-0.02204482342923743
341,-0.02204482342923743
342,-0.02204482342923743
343,-0.024138604974700068
344,-0.027262882362334637
345,-0.027262882362334637
